cname,tname,year,role,,,,
Danny Elfman,The Completionist,2015,soundtrack,,,,
Danny Elfman,Lego Dimensions,2015,soundtrack,,,,
Danny Elfman,Weird Simpsons VHS,2015,soundtrack,,,,
Danny Elfman,Reel Iconic,2015,soundtrack,,,,
Danny Elfman,Batman: Arkham Knight,2015,soundtrack,,,,
Danny Elfman,Cereal Killer,2015,soundtrack,,,,
Danny Elfman,Fifty Shades of Grey,2015,soundtrack,,,,
Danny Elfman,The Cinema Snob,2015,soundtrack,,,,
Danny Elfman,The Wolfpack,2015,soundtrack,,,,
Danny Elfman,Cirque du Soleil: Le Grand Concert,2015,soundtrack,,,,
Danny Elfman,Halloween on Dartmoor,2014,soundtrack,,,,
Danny Elfman,Lego Batman 3: Beyond Gotham,2014,soundtrack,,,,
Danny Elfman,Family Guy,2005,soundtrack,,,,
Danny Elfman,Home Bound,N/A,soundtrack,,,,
Danny Elfman,The Hitch,2014,soundtrack,,,,
Danny Elfman,Caffeine Madness,2014,soundtrack,,,,
Danny Elfman,Gameballcz,2014,soundtrack,,,,
Danny Elfman,Psych,2014,soundtrack,,,,
Danny Elfman,The Cine-Masochist,2010,soundtrack,,,,
Danny Elfman,Dads,2014,soundtrack,,,,
Danny Elfman,Pride & Prejudice & Zombies,2013,soundtrack,,,,
Danny Elfman,Nostalgia Critic,N/A,soundtrack,,,,
Danny Elfman,Grand Theft Auto V,2013,soundtrack,,,,
Danny Elfman,Chinese Puzzle,2013,soundtrack,,,,
Danny Elfman,Lego Batman: The Movie - DC Super Heroes Unite,2013,soundtrack,,,,
Danny Elfman,Oz the Great and Powerful,2013,soundtrack,,,,
Danny Elfman,Caddicarus,2013,soundtrack,,,,
Danny Elfman,One Hit Wonderland,N/A,soundtrack,,,,
Danny Elfman,Animeme,2012,soundtrack,,,,
Danny Elfman,Frankenweenie,2012,soundtrack,,,,
Danny Elfman,Hand-Drawn: A Perfect Therapy Story,2012,soundtrack,,,,
Danny Elfman,Lego Batman 2: DC Super Heroes,2012,soundtrack,,,,
Danny Elfman,Some Jerk with a Camera,N/A,soundtrack,,,,
Danny Elfman,Dark Shadows,2012,soundtrack,,,,
Danny Elfman,What's the Difference?,2012,soundtrack,,,,
Danny Elfman,American Dad!,2006,soundtrack,,,,
Danny Elfman,Any Questions for Ben?,2012,soundtrack,,,,
Danny Elfman,Bullied,N/A,soundtrack,,,,
Danny Elfman,Desperate Housewives,2004,soundtrack,,,,
Danny Elfman,P.O.V.,N/A,soundtrack,,,,
Danny Elfman,"Daisy, a Hen Into the Wild",2011,soundtrack,,,,
Danny Elfman,Dancing with the Stars,2011,soundtrack,,,,
Danny Elfman,Restless,N/A,soundtrack,,,,
Danny Elfman,20 to 1,2011,soundtrack,,,,
Danny Elfman,Rango,2011,soundtrack,,,,
Danny Elfman,If a Tree Falls: A Story of the Earth Liberation Front,2011,soundtrack,,,,
Danny Elfman,Carmen Got Expelled,2010,soundtrack,,,,
Danny Elfman,Dick Tracy Special,2010,soundtrack,,,,
Danny Elfman,"Esteghlalish Blue, Persepolis Men",2010,soundtrack,,,,
Danny Elfman,Chuck,2010,soundtrack,,,,
Danny Elfman,"The Art Of... When You're Hot, Young, Poor and a Filmmaker!",2010,soundtrack,,,,
Danny Elfman,So You Think You Can Dance,2010,soundtrack,,,,
Danny Elfman,Total Wipeout,2010,soundtrack,,,,
Danny Elfman,Kick-Ass,2010,soundtrack,,,,
Danny Elfman,Alice in Wonderland,N/A,soundtrack,,,,
Danny Elfman,Assassin,2010,soundtrack,,,,
Danny Elfman,Wanted: Weapons of Fate,2009,soundtrack,,,,
Danny Elfman,Coraline,2009,soundtrack,,,,
Danny Elfman,L'isola dei famosi,2008,soundtrack,,,,
Danny Elfman,The Angry Video Game Nerd,2008,soundtrack,,,,
Danny Elfman,Wanted,2008,soundtrack,,,,
Danny Elfman,Holiday Festival on Ice 2007,2007,soundtrack,,,,
Danny Elfman,Cautionary Tales of Swords,2007,soundtrack,,,,
Danny Elfman,The Best of Siouxsie and the Banshees,2007,soundtrack,,,,
Danny Elfman,The Kingdom,2007,soundtrack,,,,
Danny Elfman,The Simpsons Movie,2007,soundtrack,,,,
Danny Elfman,The Know's Top 10s,2007,soundtrack,,,,
Danny Elfman,Sicko,2007,soundtrack,,,,
Danny Elfman,Venga la alegría,2007,soundtrack,,,,
Danny Elfman,Spider-Man 3,2007,soundtrack,,,,
Danny Elfman,Kingdom Hearts Re: Chain of Memories,2007,soundtrack,,,,
Danny Elfman,Meet the Robinsons,2007,soundtrack,,,,
Danny Elfman,Gina's Laughing Gear,2007,soundtrack,,,,
Danny Elfman,Charlotte's Web,2006,soundtrack,,,,
Danny Elfman,NCIS,2006,soundtrack,,,,
Danny Elfman,Nacho Libre,2006,soundtrack,,,,
Danny Elfman,The Benchwarmers,2006,soundtrack,,,,
Danny Elfman,Kingdom Hearts II,2005,soundtrack,,,,
Danny Elfman,Corpse Bride,2005,soundtrack,,,,
Danny Elfman,Siouxsie - Dreamshow,2005,soundtrack,,,,
